patent_id,title,abstract,ipc_codes,cpc_codes,cites,cited_by,publication_year
177-628-115-462-268,Thermalization arrangement at cryogenic temperatures,"A thermalization arrangement at cryogenic temperatures is dislcosed. The arrangement comprises a dielectric substrate layer on which substrate a device/s or component/s are positionable, and a heat sink component is attached on another side of the substrate. The arrangement further comprises a conductive layer between the substrate layer and the heat sink component. A joint between the substrate layer and the conductive layer has minimal phonon thermal boundary resistance. Energy of conductive layer phonons are arranged to be absorbed by electrons. Another joint between the conductive layer and the heat sink component is electrically conductive. The substrate layer and the conductive layer have similar acoustic properties.",H05K7/20; F25D19/00; F28D19/00; F28F13/00; F28F21/08; H01L23/373; H10N60/10,H05K7/20509; F25D19/006; F28F21/08; H01L23/3738; H05K7/20372; H05K7/20481; H10N60/10; F28F2013/006,134-729-003-470-207; 089-966-974-177-31X; 127-061-103-913-553; 104-512-352-743-159,,2026
160-197-779-838-513,Substrate processing method and substrate processing apparatus,"A method includes: supplying a processing liquid to a center position of a substrate surface; shifting a supply position of the processing liquid from the center position to a first eccentric position; holding the supply position of the processing liquid at the first eccentric position and supplying a substitute liquid to a second eccentric position; shifting the supply position of the processing liquid in a direction away from the center position, and shifting a supply position of the substitute liquid to the center position; and supplying the processing liquid to the first eccentric position at a first flow rate, and reducing the flow rate of the processing liquid to a second flow rate after the supply position of the processing liquid starts to be shifted from the first eccentric position in the direction and until the supply position of the substitute liquid reaches the center position.",B08B3/02; B08B13/00; H01L21/67,H01L21/67253; B08B3/022; B08B13/00; H01L21/67023,109-486-547-931-77X; 046-825-355-986-506; 110-075-492-198-935; 001-879-237-896-156; 039-735-321-224-236; 110-163-841-940-748; 057-599-678-518-869; 068-893-311-134-697; 110-808-136-705-510,,2026
128-623-867-370-729,Method of manufacturing semiconductor device and semiconductor device,A method of manufacturing a semiconductor device according to an embodiment includes: forming a mask material having an opening on a surface of a silicon carbide layer; forming a trench in the silicon carbide layer using the mask material as a mask; performing first ion implantation for implanting carbon (C) into a bottom face of the trench using the mask material as a mask; forming a sidewall material on a side face of the trench; performing second ion implantation for implanting a p-type first impurity into the bottom face of the trench using the sidewall material as a mask; and performing heat treatment at 1600° C. or more.,H10D12/01; H01L21/04; H01L21/324; H10D30/66; H10D62/832,H10D12/031; H01L21/0465; H01L21/324; H10D30/668; H10D62/8325,101-564-556-735-404; 052-825-607-555-030; 154-684-454-684-545; 082-199-164-120-961; 196-425-257-284-996; 095-296-062-601-576; 025-250-205-588-856; 106-809-167-760-82X; 137-058-917-482-612; 164-301-505-821-207,,2026
069-818-076-676-467,Display apparatus,"A display apparatus including a carrier and a plurality of pixel units is disclosed. Each pixel unit has a first light-emitting device. The pixel units are provided with a plurality of second light-emitting devices and a plurality of third light-emitting devices, and include a first pixel unit, a second pixel unit, a third pixel unit, and a fourth pixel unit sequentially arranged along a first direction. The first pixel unit and the second pixel unit adjacent to each other share one second light-emitting device and one third light-emitting device. The third pixel unit and the fourth pixel unit adjacent to each other share another second light-emitting device and another third light-emitting device. The second light-emitting devices and the third light-emitting devices are not disposed between two first light-emitting devices of the second pixel unit and third pixel unit adjacent to each other.",H01L25/075; H10H20/857,H01L25/0753; H10H20/857,177-304-403-416-791; 075-976-474-793-985; 086-782-011-395-36X,,2026
096-228-709-046-182,Electronic device and method for manufacturing electronic device,"An electronic device which can suppress peeling off and damaging of the bonding material is provided. The electronic device includes an electronic component, a mounting portion, and a bonding material. The electronic component has an element front surface and an element back surface separated in the z-direction. The mounting portion has a mounting surface opposed to the element back surface on which the electronic component is mounted. The bonding material bonds the electronic component to the mounting portion. The bonding material includes a base portion and a fillet portion. The base portion is held between the electronic component and the mounting portion in the z-direction. The fillet portion is connected to the base portion and is formed outside the electronic component when seen in the z-direction. The electronic component includes two element lateral surface and ridges. The ridges are intersections of the two element lateral surface and extend in the z-direction. The fillet portion includes a ridge cover portion which covers at least a part of the ridges.",H01L23/495; H01L23/00,H01L23/49513; H01L23/49548; H01L24/29; H01L24/32; H01L24/48; H01L24/73; H01L24/83; H01L2224/29139; H01L2224/3201; H01L2224/32053; H01L2224/32056; H01L2224/32058; H01L2224/32059; H01L2224/32245; H01L2224/48245; H01L2224/73263; H01L2224/8384; H01L2924/182,,,2026
082-730-343-767-49X,Light emitting diode filament including flip chip light emitting diodes to reduce the amount of phosphor that is integrated into the filament,"A light emitting diode (LED) structure that includes a stent substrate; and a circuit having a plurality of contact pads arranged along a length of the stent substrate. The structure further includes a plurality of light emitting diode (LED) chips, wherein each light emitting diode chip in the plurality of chips is engaged to a set of contact pads along the length of the metal stent substrate. A continuous phosphor layer is present overlying the plurality of light emitting diode (LED) chips, the continuous phosphor layer including first portions that are in direct contact with at least a light transmission surface of the light emitting diode (LED) chips and second portions that bridge across the space separating adjacently positioned light emitting diode. An encapsulant present over the continuous phosphor layer that is covering at least the light emitting diode chips.",H10H20/857; H01L25/075; H10H20/01; H10H20/825; H10H20/851; H10H20/854,H10H20/857; H01L25/0753; H10H20/01; H10H20/825; H10H20/8512; H10H20/854; H10H20/0362; H10H20/0364,,,2026
012-173-616-175-708,Generation of physically unclonable function using one-time-programmable memory devices with backside interconnect structures,"A semiconductor device includes a memory cell randomly presenting a first logic state or a second logic state and formed on a first side of a substrate, and a first and a second bit lines formed on a second side of the substrate opposite to the first side. The memory cell includes: a programming transistor having a first and a second source/drain terminals; a first reading transistor having a first source/drain terminal coupled to the first source/drain terminal of the programming transistor; and a second reading transistor having a first source/drain terminal coupled to the second source/drain terminal of the programming transistor. The first bit line is operatively coupled to a second source/drain terminal of the first reading transistor, and the second bit line is operatively coupled to a second source/drain terminal of the second reading transistor.",G11C17/16; G11C17/18; H01L23/00; H10B20/25,H01L23/573; G11C17/16; G11C17/18; H10B20/25,184-331-852-310-260; 091-627-383-885-758; 194-160-689-086-615; 051-503-300-807-661,,2026
118-027-923-994-867,Modular recipe controlled calibration (MRCC) apparatus used to balance plasma in multiple station system,A circuit tuning radio frequency (RF) power. The circuit includes a low to mid frequency (LF/HF) tuning circuit including a variable LF/MF capacitor coupled in series with an LF/MF inductor. The LF/MF tuning circuit is coupled between ground and a common node configured to receive an RF input. The circuit includes a high frequency (HF) tuning circuit coupled in parallel to the LF/MF tuning circuit between ground and the common node. The HF tuning circuit includes a variable HF capacitor coupled in series with an HF inductor. Cross parallel isolation occurs between the LF/MF inductor of the LF/MF tuning circuit and the HF inductor of the HF tuning circuit when adjusting the variable LF/MF capacitor or variable HF capacitor.,H01J37/00; H01J37/32; H01L21/687,H01J37/32091; H01J37/321; H01J37/32183; H01L21/68785,050-245-566-791-024; 102-209-677-898-023,,2026
048-050-320-699-98X,Three-dimensional flash memory with high degree of integration,"A through silicon via (TSV)-based three-dimensional flash memory having a high degree of integration comprises: at least one memory cell string chip including a plurality of memory cell strings; and a peripheral circuit chip including at least one peripheral circuit, wherein the peripheral circuit chip is arranged below the at least one memory cell string chip and is connected to the at least one memory cell string chip by using at least one TSV. The at least one memory cell string chip includes the plurality of memory cell strings, and the peripheral circuit chip is connected to the at least one peripheral circuit. The peripheral circuit chip is connected to the at least one memory cell string chip by using the at least one TSV extending through the at least one memory cell string chip.",H10B80/00; H01L23/48; H10B43/27,H10B80/00; H01L23/481; H10B43/27,163-757-109-669-230; 175-468-950-522-209; 077-388-099-294-317; 072-392-663-731-726; 137-004-439-580-467; 087-036-930-135-456; 041-173-849-333-983,,2026
145-930-345-172-430,Method of gap filling for semiconductor device,"A method of manufacturing a semiconductor device includes forming a dielectric layer conformally over a plurality of fins on a substrate, forming a first high-k layer conformally over the dielectric layer, and forming a flowable oxide over the first high-k layer. Forming the flowable oxide includes filling first trenches adjacent fins of the plurality of fins. The method further includes recessing the flowable oxide to form second trenches between adjacent fins of the plurality of fins, forming a second high-k layer over the first high-k layer and the flowable oxide, performing a planarization that exposes top surfaces of the plurality of fins, and recessing the dielectric layer to form a plurality of dummy fins that include remaining portions of the first and second high-k layers and the flowable oxide.",H01L29/66; H01L21/02; H01L21/3105; H01L21/311; H01L21/762; H10D30/01; H10D62/10; H10D62/17; H10D64/01; H10D84/01; H10D84/03; H10D84/85,H10D30/0243; H01L21/02181; H01L21/02271; H01L21/31053; H01L21/31111; H01L21/31116; H01L21/76224; H10D62/116; H10D62/292; H10D64/017; H10D84/0188; H10D84/0193; H10D84/038; H10D84/853,113-457-693-849-805; 076-155-653-361-510; 053-559-242-249-643; 038-724-522-272-349; 126-379-569-304-905; 088-045-672-441-813; 108-751-779-585-448; 127-607-649-111-976; 090-137-793-286-231; 008-671-850-638-296; 037-058-676-113-000; 183-429-465-678-558; 082-116-887-769-768; 108-730-129-040-697; 031-406-958-634-20X; 116-088-325-088-449; 182-149-115-659-83X; 039-564-514-065-979; 105-954-907-335-699; 039-693-292-032-59X; 003-466-862-647-646,,2026
